GLUID,Retailer,Fascia,StoreName,Add1,Add2,Town,Locality,Postcode,LongWGS84,LatWGS84,EastingBNG,NorthingBNG,PQIflag,OpenDate
1010000097,Aldi,Aldi,Aldi Selsdon,232-236 Addington Road,Selsdon,London,Selsdon/South Croydon,CR28LE,-0.059112,51.3449,535272.55,162438.13,1,
1010000205,Aldi,Aldi,Aldi Ilford,High Road,Seven Kings,London,Seven Kings,IG38RS,0.104836,51.5651,545985.72,187245.42,1,
1010000315,Aldi,Aldi,Aldi North Finchley,Ballards Lane,North Finchley,London,North Finchley,N120ER,-0.176925,51.6128,526326.11,192018.86,1,
1010000316,Aldi,Aldi,"Aldi Tottenham, London",570-592 High Road,Tottenham,London,Bruce Grove,N179TA,-0.067977,51.596,533918.37,190343.54,1,
1010000362,Aldi,Aldi,Aldi London,142-162 Kilburn High Road,,London,Kilburn,NW64JD,-0.196047,51.5406,525200.35,183956.02,1,
1010000363,Aldi,Aldi,"Aldi Kingsbury, London",632-640 Kingsbury Road,Kingsbury,London,Kingsbury,NW99HN,-0.27992,51.5852,519267.46,188779.41,1,
1010000404,Aldi,Aldi,Aldi Romford,45 Market Place,,London,Romford,RM13AB,0.182225,51.58,551299.72,189054.15,1,
1010000405,Aldi,Aldi,Aldi Upminster,119-129 St Mary┤s Lane,,London,Upminster,RM142QB,0.248424,51.5564,555966.71,186568.64,1,
1010000407,Aldi,Aldi,Aldi Romford,7-9 Marlborough Road,,London,Romford,RM78AD,0.163312,51.5816,549984.14,189194.32,1,
1010000408,Aldi,Aldi,Aldi Dagenham,Unit 1A Ripple Road,,London,Dagenham,RM96SJ,0.14485,51.5309,548870.52,183517.78,1,
1010000434,Aldi,Aldi,Aldi London,840 Old Kent Road,,London,Peckham,SE151NQ,-0.055657,51.4787,535118.28,177325.92,1,
1010000435,Aldi,Aldi,Aldi Anerley,97 Croydon Road,Anerley,London,Anerley,SE207SX,-0.059054,51.4085,535089.21,169516.28,1,
1010000436,Aldi,Aldi,Aldi Thamesmead,Central Way,,London,Thamesmead,SE288DT,0.106143,51.506,546265.5,180676.07,1,
1010000437,Aldi,Aldi,Aldi Catford,Rushey Green,,London,Catford,SE64JD,-0.017712,51.4486,537843.66,174048.99,1,
1010000497,Aldi,Aldi,Aldi Feltham,76-86 High Street,,London,Feltham,TW134DD,-0.411998,51.4439,510458.56,172854.59,1,
1010000498,Aldi,Aldi,Aldi Hounslow,Hospital Road,,London,Hounslow,TW33HY,-0.372069,51.4676,513174.75,175551.99,1,
1010000499,Aldi,Aldi,Aldi Yiewsley,High Street,West Drayton,London,Yiewsley,UB77QN,-0.474278,51.5144,505967.07,180608.69,1,
1010000617,Asda,Asda,Asda Wallington Superstore,Marlow Way,Croydon,London,Beddington,CR04XS,-0.130158,51.3768,530234.36,165859.44,1,
1010000627,Asda,Asda,Asda Belvedere Superstore,Station Road,Belvedere,London,Belvedere,DA176DF,0.154431,51.4915,549664.09,179154.59,1,
1010000628,Asda,Asda,Asda Bexleyheath Superstore,The Broadway,Bexleyheath,London,Bexleyheath,DA67BN,0.142601,51.4575,548953.57,175349.91,1,
1010000647,Asda,Asda,Asda Leyton Mills Superstore,Marshall Road,,London,Leyton,E105NH,-0.009039,51.5563,538120.35,186044.98,1,
1010000648,Asda,Asda,Asda Isle Of Dogs Superstore,151 East Ferry Road,Isle Of Dogs,London,Cubitt Town,E143BT,-0.013075,51.4939,538029.15,179093.95,1,
1010000649,Asda,Asda,Asda Beckton Superstore,Tollgate Road,Beckton,London,Beckton,E64JP,0.057803,51.515,542882.87,181581.67,1,
1010000675,Asda,Asda,Asda Wembley Superstore,Forty Lane,Wembley,London,Wembley Park,HA99EX,-0.27577,51.5647,519608.78,186504.81,1,
1010000684,Asda,Asda,Asda Barking Superstore,Station Parade Vicarage Field Shopping Centre,Ripple Road,London,Barking,IG118DJ,0.081865,51.5382,544478.94,184206.84,1,
1010000734,Asda,Asda,Asda Edmonton Green Superstore,1 West Mall,Edmonton,London,Upper Edmonton,N90AL,-0.059552,51.6224,534423.72,193301.84,1,
1010000761,Asda,Asda,Asda Park Royal Superstore,2-20 Western Road,Park Royal,London,North Acton,NW107LW,-0.270258,51.5286,520085.78,182498.25,1,
1010000762,Asda,Asda,Asda Colindale Superstore,Capitol Way Off Edgeware Road,Colindale,London,Colindale,NW90AS,-0.261061,51.594,520550.62,189792.7,1,
1010000785,Asda,Asda,Asda Romford Superstore,Dolphin Approach,Mercury Gardens,London,Romford,RM13EE,0.185586,51.5794,551534.51,188997.35,1,
1010000787,Asda,Asda,Asda Chadwell Heath Superstore,Whalebone Lane,Chadwell Heath,London,Becontree Heath,RM81BB,0.143187,51.5659,548641.01,187409.16,1,
1010000788,Asda,Asda,Asda Dagenham Superstore,Merrielands Crescent,Dagenham,London,Dagenham,RM96SJ,0.142416,51.53,548704.57,183414.11,1,
1010000796,Asda,Asda,Asda Old Kent Road Superstore,464-504 Old Kent Road,,London,Peckham,SE15AG,-0.069986,51.4846,534105.94,177958.65,1,
1010000797,Asda,Asda,Asda Charlton Superstore,Bugsby Way,Charlton,London,Charlton,SE77ST,0.022201,51.4887,540493.76,178582.69,1,
1010000803,Asda,Asda,Asda Sutton Superstore,St Nicolas Way,Sutton,London,Sutton,SM11LD,-0.195254,51.367,525730.99,164655.56,1,
1010000817,Asda,Asda,Asda Clapham Junction Superstore,204 Lavender Hill,Battersea,London,Clapham Junction,SW111JG,-0.164879,51.4655,527571.11,175657.56,1,
1010000818,Asda,Asda,Asda Roehampton Superstore,31 Roehampton Vale,,London,Putney Vale,SW153DT,-0.245866,51.4396,522014.77,172642.91,1,
1010000833,Asda,Asda,Asda Feltham Superstore,Tiiley Road,Feltham,London,Feltham,TW134BH,-0.412149,51.4468,510441.12,173175.17,1,
1010000834,Asda,Asda,Asda Hounslow Superstore,High Street,Off Kingsley Road and Cecil Road,London,Hounslow,TW31JT,-0.361382,51.4711,513908.29,175956.42,1,
1010000869,Asda,Asda Living,Asda Living Tottenham,Unit 4 Tottenham Hale Retail Park,Broad Lane,London,Tottenham Hale,N154QD,-0.06094,51.5872,534431.71,189377.34,1,
1010000913,Asda,ASDA Supercentre,Asda Southgate Circus Supercentre,130 Chase Side,,London,Southgate,N145PW,-0.131272,51.6343,529425.65,194491.82,1,
1010000963,Asda,ASDA Supermarket,Asda Mitcham Supermarket,St James Estate Bond Road,Mitcham,London,Mitcham,CR43EB,-0.168273,51.4074,527496.88,169192.95,1,
1010000968,Asda,ASDA Supermarket,Asda Bexleyheath Crook Log Supermarket,13-15 Crook Log,Bexleyheath,London,Bexleyheath,DA68EQ,0.130158,51.4583,548086.56,175413.04,1,
1010000987,Asda,ASDA Supermarket,Asda Walthamstow Supermarket,19 Selbourne Walk Shopping Centre,Walthamstow,London,Walthamstow,E177LS,-0.024497,51.5829,536969.07,188968.3,1,
1010000988,Asda,ASDA Supermarket,Asda Stamford Hill Supermarket,158 Clapton Common,Stamford Hill,London,Stamford Hill,E59AG,-0.071017,51.5736,533773.63,187844.8,1,
1010000992,Asda,ASDA Supermarket,Asda Ponders End Supermarket,67 High Street,Ponders End,London,Ponders End,EN34EF,-0.045887,51.6415,535313.0,195442.73,1,
1010000997,Asda,ASDA Supermarket,Asda South Harrow Supermarket,469-491 Northolt Road,South Harrow,London,South Harrow,HA28JN,-0.360865,51.5577,513728.37,185593.03,1,
1010001008,Asda,ASDA Supermarket,Asda Kingston On Thames Supermarket,142 London Road,Kingston Upon Thames,London,Norbiton,KT26QL,-0.290086,51.4112,519015.37,169410.03,1,
1010001042,Asda,ASDA Supermarket,Asda Tottenham High Road Supermarket,490 High Road,Tottenham,London,Bruce Grove,N179JF,-0.069098,51.5936,533847.65,190078.83,1,
