id,retailer,fascia,store_name,add_one,add_two,town,suburb,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,size_band,county
1010015249,Marks and Spencer,Marks and Spencer Hospital,M&S St Helier Hospital,St Helier Hospital,Wrythe Lane,London,St Helier,SM5 1AA,-0.1833835412176217,51.38015317119956,526522.4052986657,166132.6473465945,Rooftop,20189999.0,"< 3,013 ft2 (280m2)",Greater London
1010006079,Tesco,Tesco Express Esso,Tesco North Cheam Esso Express,668 London Road,North Cheam,London,North Cheam,SM3 9BY,-0.2224029594530343,51.37579674050605,523818.8214916846,165581.648139472,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010001783,Marks and Spencer,Marks and Spencer BP,M&S Cambridge Rd Carshalton BP,322-332 Carshalton Road,Carshalton,London,Carshalton,SM5 3QB,-0.172373824118035,51.36291324453289,527336.34150079,164234.57814117806,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010019365,Aldi,Aldi,Aldi Cheam,673-683 London Road,,London,North Cheam,SM3 9DL,-0.223004256934944,51.37585499179599,523776.81665216375,165587.11150489812,Rooftop,20211209.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010020479,Waitrose,Little Waitrose Shell,Little Waitrose Shell Sutton,56-58 Cheam Road,,London,Sutton,SM1 2SS,-0.200214987612644,51.3613029952861,525402.5683679823,164007.5828503209,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010015823,Budgens,Budgens,Budgens Carshalton,Green Wrythe Lane,,London,St Helier,SM5 1JQ,-0.1742089521208285,51.38430961464467,527149.3453008261,166610.71038712753,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
1010003827,Sainsburys,Sainsburys Local,Sainsburys Carshalton High Street Local,52-56 High Street,,London,Carshalton,SM5 3AG,-0.1610491797666191,51.36515649263103,528118.4515027965,164503.73814363836,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010019303,Lidl,Lidl,Lidl London - Sutton Town Centre,268-270 High St,,London,Sutton,SM1 1PG,-0.1942290339458933,51.36805481065043,525800.8093311312,164768.64115600107,Rooftop,20210812.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010005654,Tesco,Tesco Express,Tesco Sutton Brighton Rd Express,14-17 Regent Parade,Brighton Road,London,Sutton,SM2 5BQ,-0.1913641035327551,51.358259940097966,526027.0914974251,163684.34813669656,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010015793,The Co-operative Group,The Co-operative Food,Co-op London - Chiswick High Road,578-586 Chiswick High Road,,London,Gunnersbury,W4 5RP,-0.274921081688643,51.49270940554369,519857.6524878559,178495.52554671705,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
